,userId,movieId,rating,timestamp
0,1,1031,2.5,1260759144
1,1,2029,3.0,1260759179
2,1,2061,3.0,1260759182
3,1,2129,2.0,1260759185
4,1,2172,4.0,1260759205
5,1,2263,2.0,1260759151
6,1,2287,2.0,1260759187
7,1,2293,2.0,1260759148
8,1,2339,3.5,1260759125
9,1,2343,2.0,1260759131
10,1,2371,2.5,1260759135
11,1,2405,1.0,1260759203
12,1,2953,4.0,1260759191
13,1,3105,4.0,1260759139
14,1,3150,3.0,1260759194
15,1,3193,2.0,1260759198
16,1,3294,2.0,1260759108
17,1,3455,2.5,1260759113
18,1,3968,1.0,1260759200
19,1,4671,3.0,1260759117
20,2,1010,4.0,835355493
21,2,1017,5.0,835355681
22,2,1039,5.0,835355604
23,2,1047,4.0,835355552
24,2,1050,4.0,835355586
25,2,1052,3.0,835356031
26,2,1062,3.0,835355749
27,2,1110,4.0,835355532
28,2,1144,3.0,835356016
29,2,1150,5.0,835355395
30,2,1153,4.0,835355441
31,2,1161,3.0,835355493
32,2,1165,3.0,835355441
33,2,1168,3.0,835355710
34,2,1185,3.0,835355511
35,2,1186,3.0,835355664
36,2,1208,3.0,835355511
37,2,1222,5.0,835355840
38,2,1223,1.0,835355749
39,2,1225,3.0,835355552
40,2,1235,3.0,835355664
41,2,1248,3.0,835355896
42,2,1253,4.0,835355511
43,2,1261,4.0,835355681
44,2,1265,5.0,835355697
45,2,1266,5.0,835355586
46,2,1272,3.0,835355767
47,2,1273,4.0,835355779
48,2,1292,3.0,835355492
49,2,1296,4.0,835355395
50,2,1300,3.0,835355532
51,2,1314,4.0,835356044
52,2,1317,2.0,835355551
53,2,1319,1.0,835355918
54,2,1339,3.0,835355492
55,2,1349,4.0,835355441
56,2,1350,4.0,835355697
57,2,1356,3.0,835355628
58,2,1357,3.0,835355749
59,2,1364,3.0,835355604
60,2,1367,3.0,835355619
61,2,1370,2.0,835355932
62,2,1371,3.0,835355968
63,2,1372,3.0,835356094
64,2,1377,3.0,835355710
65,2,1382,3.0,835356165
66,2,1405,2.0,835356246
67,2,1410,3.0,835355532
68,2,1454,4.0,835355604
69,2,1457,3.0,835355511
70,2,1468,4.0,835355790
71,2,1474,2.0,835355828
72,2,1480,4.0,835355643
73,2,1485,3.0,835355918
74,2,1497,3.0,835355880
75,2,1500,4.0,835355731
76,2,1508,4.0,835355860
77,2,1509,4.0,835355719
78,2,1515,4.0,835355817
79,2,1527,4.0,835355731
80,2,1537,4.0,835356199
81,2,1539,3.0,835355767
82,2,1550,3.0,835356109
83,2,1551,5.0,835355767
84,2,1552,3.0,835355860
85,2,1585,5.0,835355817
86,2,1586,3.0,835355790
87,2,1587,3.0,835355779
88,2,1588,3.0,835355441
89,2,1589,5.0,835355697
90,2,1590,5.0,835355395
91,2,1592,5.0,835355395
92,2,1593,3.0,835355511
93,2,1616,3.0,835355932
94,2,1661,4.0,835356141
95,2,1720,4.0,835355978
96,3,1060,3.0,1298861675
97,3,1110,4.0,1298922049
98,3,1247,3.5,1298861637
99,3,1267,3.0,1298861761
100,3,1296,4.5,1298862418
101,3,1318,5.0,1298862121
102,3,1355,2.5,1298861589
103,3,1356,5.0,1298862167
104,3,1377,2.5,1298923242
105,3,1527,3.0,1298862528
106,3,1588,3.0,1298922100
107,3,1592,3.0,1298923247
108,3,1593,3.0,1298921840
109,3,1595,2.0,1298923260
110,3,1736,3.5,1298932787
111,3,1778,4.0,1298863157
112,3,1866,3.0,1298861687
113,3,2197,5.0,1298932770
114,3,2210,3.0,1298921795
115,3,2235,4.0,1298861628
116,3,2271,3.0,1298861605
117,3,2378,4.0,1298861658
118,3,2580,3.5,1298922089
119,3,2721,4.5,1298923236
120,3,2884,4.0,1298863143
121,3,3028,4.0,1298921862
122,3,3318,4.0,1298861753
123,3,3513,3.0,1298861789
124,3,3694,3.0,1298862710
125,3,3702,3.5,1298861796
126,3,3716,3.0,1298924017
127,3,3762,3.5,1298922057
128,3,3841,4.0,1298861733
129,3,3858,4.0,1298921825
130,3,3959,5.0,1298862874
131,3,4243,3.0,1298861968
132,3,4510,4.0,1298861633
133,3,4949,5.0,1298863174
134,3,6349,3.0,1298923266
135,3,6669,3.5,1298862672
136,3,7377,3.0,1298922080
137,3,8153,2.5,1298921787
138,3,8361,3.0,1298922065
139,3,9622,3.5,1298861650
140,3,9636,3.0,1298932766
141,3,28369,3.5,1298862555
142,3,45191,3.5,1298932740
143,3,49783,4.5,1298862361
144,3,51068,4.5,1298862467
